CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;1;20;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.666666667;7; 64 ;Dec-12;;
1;1;16;53;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;6.5;7; 140 ;Feb-13;;
1;1;1;29;M;2;3;A;Annually;Lapse; 50,000 ;NO NLG;0;0;0;N;6.5;7; 151 ;Feb-13;;
1;1;2;32;M;2;3;A;Annually;Lapse; 150,000 ;NO NLG;0;0;0;N;6.416666667;7; 476 ;Mar-13;;
1;1;1;22;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.416666667;7; 64 ;Mar-13;;
1;1;6;50;F;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;6.333333333;7; 280 ;Apr-13;;
1;1;5;50;M;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;6.083333333;7; 400 ;Jul-13;;
1;1;5;44;F;1;1;A;Annually;Surrender; 200,000 ;NO NLG;0;0;0;N;5.916666667;6; 400 ;Sep-13;;
1;1;3;20;F;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;5.833333333;6; 61 ;Oct-13;;
1;1;8;25;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;5.666666667;6; 60 ;Dec-13;;
1;1;1;48;M;1;2;A;Quaterly;Lapse; 100,000 ;NO NLG;0;0;0;N;5.416666667;6; 276 ;Mar-14;;
1;1;16;24;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;5.333333333;6; 64 ;Apr-14;;
1;1;8;45;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;4;5; 140 ;Aug-15;;
1;1;1;33;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;3.666666667;4; 200 ;Dec-15;;
1;1;38;48;M;9;30;E;Monthly;Inforce; 50,000 ;NO NLG;0;0;0;N;3.25;4; 26 ;May-16;;
1;1;38;48;M;9;38;E;Monthly;Inforce; 2,500 ;NO NLG;0;0;0;N;3.25;4; 16 ;May-16;;
1;1;38;48;M;9;37;E;Monthly;Inforce; - ;NO NLG;0;0;0;N;3.25;4; 13 ;May-16;;
1;1;1;26;F;2;3;A;Monthly;Lapse; 34,000 ;NO NLG;0;0;0;N;8;9; 262 ;Aug-11;;
1;1;18;32;M;2;3;A;Monthly;Lapse; 72,000 ;NO NLG;0;0;0;N;8;9; 246 ;Aug-11;;
1;1;6;40;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 216 ;Sep-11;;
1;1;1;28;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;8;9; 216 ;Aug-11;;
1;1;15;33;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;8;9; 200 ;Aug-11;;
1;1;1;31;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.916666667;8; 216 ;Sep-11;;
1;1;6;29;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.916666667;8; 163 ;Sep-11;;
1;1;15;26;M;1;4;A;Annually;Lapse; 140,000 ;NO NLG;0;0;0;N;7.916666667;8; 280 ;Sep-11;;
1;1;1;32;M;2;3;A;Monthly;Lapse; 80,000 ;NO NLG;0;0;0;N;7.916666667;8; 773 ;Sep-11;;
1;1;3;25;F;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;7.833333333;8; 400 ;Oct-11;;
1;1;1;31;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 216 ;Oct-11;;
1;1;1;29;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 151 ;Oct-11;;
1;1;1;33;F;2;3;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.833333333;8; 357 ;Oct-11;;
1;1;10;36;M;2;3;A;Annually;Lapse; 80,000 ;NO NLG;0;0;0;N;7.75;8; 309 ;Nov-11;;
1;1;6;34;M;2;3;A;Annually;Lapse; 80,000 ;NO NLG;0;0;0;N;7.75;8; 794 ;Nov-11;;
1;1;2;50;M;2;3;A;Annually;Expired; 80,000 ;NO NLG;0;0;0;N;7.75;8; - ;Nov-11;;
1;1;4;37;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.75;8; 151 ;Nov-11;;
1;1;6;35;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.75;8; 216 ;Nov-11;;
1;1;1;43;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 151 ;Dec-11;;
1;1;1;29;M;2;3;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.666666667;8; 327 ;Dec-11;;
1;1;2;32;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.666666667;8; 68 ;Dec-11;;
1;1;2;30;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.583333333;8; 74 ;Jan-12;;
1;1;2;30;M;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.583333333;8; 64 ;Jan-12;;
1;1;6;47;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.583333333;8; 151 ;Jan-12;;
1;1;12;23;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.5;8; 135 ;Feb-12;;
1;1;9;28;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 216 ;Feb-12;;
1;1;6;50;M;1;1;A;Monthly;Inforce; 200,000 ;NO NLG;0;0;0;N;7.5;8; 432 ;Feb-12;;
1;1;1;43;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 151 ;Feb-12;;
1;1;1;30;F;2;3;A;Monthly;Lapse; 80,000 ;NO NLG;0;0;0;N;7.416666667;8; 261 ;Mar-12;;
1;1;3;22;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 60 ;Mar-12;;
1;1;11;38;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 288 ;Mar-12;;
1;1;15;25;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.416666667;8; 216 ;Mar-12;;
1;1;6;21;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.416666667;8; 151 ;Mar-12;;
1;1;1;36;M;2;3;A;Monthly;Lapse; 200,000 ;NO NLG;0;0;0;N;7.25;8; 1,124 ;May-12;;
1;1;7;29;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.333333333;8; 140 ;Apr-12;;
1;1;6;49;M;2;3;A;Monthly;Expired; 20,000 ;NO NLG;0;0;0;N;7.333333333;8; - ;Apr-12;;
1;1;4;28;M;2;3;A;Monthly;Lapse; 22,200 ;NO NLG;0;0;0;N;7.333333333;8; 73 ;Apr-12;;
1;1;1;25;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.333333333;8; 65 ;Apr-12;;
1;1;3;38;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.25;8; 119 ;May-12;;
1;1;15;41;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.25;8; 140 ;May-12;;
1;1;4;46;F;1;2;A;Quaterly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.166666667;8; 148 ;Jun-12;;
1;1;6;27;M;2;3;A;Monthly;Inforce; 30,000 ;NO NLG;0;0;0;N;7.166666667;8; 241 ;Jun-12;;
1;1;15;20;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.166666667;8; 65 ;Jun-12;;
1;1;12;24;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.083333333;8; 151 ;Jul-12;;
1;1;1;47;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.083333333;8; 200 ;Jul-12;;
1;1;2;47;M;2;3;A;Annually;Expired; 80,000 ;NO NLG;0;0;0;N;7.083333333;8; 848 ;Jul-12;;
1;1;2;24;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.083333333;8; 59 ;Jul-12;;
1;1;13;47;M;1;2;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7;8; 140 ;Aug-12;;
1;1;14;38;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 95 ;Aug-12;;
